Partition,ScenarioID,Category,SubCategory,TotalTrials,TruePositives,FalseNegatives,TrueNegatives,FalsePositives,SumCheck_TP_FN_TN_FP,IsSumValid,RecallPct,PrecisionPct,F1Score,FalseAcceptanceRatePct,FalseRejectionRatePct,SpecificityPct,AccuracyPct,MeanLatencyMicros
SCENARIO,UNSEEN-ATK-09,UNSEEN_ATTACK,Artifact: Side-Loaded Unverified Binary,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,21.9
SCENARIO,UNSEEN-ATK-10,UNSEEN_ATTACK,Provenance: Subject Hash Forgery,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,26.0
SCENARIO,UNSEEN-ATK-11,UNSEEN_ATTACK,Provenance: Incomplete Materials Ledger,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,27.9
SCENARIO,UNSEEN-ATK-12,UNSEEN_ATTACK,Process: Detached Netcat Exfiltration,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,27.4
SCENARIO,UNSEEN-ATK-13,UNSEEN_ATTACK,Process: Suspicious Execution Pattern,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,18.0
SCENARIO,UNSEEN-ATK-14,UNSEEN_ATTACK,Artifact: Post-Build In-Place Tampering,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,22.4
SCENARIO,UNSEEN-ATK-15,UNSEEN_ATTACK,Signature: Log Entry Replay Attack,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,34.9
SCENARIO,UNSEEN-ATK-16,UNSEEN_ATTACK,Signature: Untrusted OIDC Principal,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,20.5
SCENARIO,UNSEEN-ATK-17,UNSEEN_ATTACK,SBOM: Manifest Version Discrepancy,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,15.0
SCENARIO,UNSEEN-ATK-18,UNSEEN_ATTACK,SBOM: Corrupted Specification Format,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,27.0
SCENARIO,UNSEEN-ATK-19,UNSEEN_ATTACK,Source: Git Tree Object Mutation,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,33.9
SCENARIO,UNSEEN-ATK-20,UNSEEN_ATTACK,Filesystem: Expanded Boundary Write Escape,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,27.9
SCENARIO,UNSEEN-ATK-21,UNSEEN_ATTACK,Network: Unauthorized DNS Exfiltration,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,25.2
SCENARIO,UNSEEN-ATK-22,UNSEEN_ATTACK,Artifact: Binary Checksum Tampering,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,23.2
SCENARIO,COMPOSED-ATK-01,COMPOSED_ATTACK,2-Layer: Source + Dependency Attack,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,14.0
SCENARIO,COMPOSED-ATK-02,COMPOSED_ATTACK,3-Layer: Source + Dependency + Process Attack,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,36.2
SCENARIO,COMPOSED-ATK-03,COMPOSED_ATTACK,4-Layer: Full Multi-Stage Chain Attack,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,17.9
SCENARIO,BENIGN-VAR-01,BENIGN_VARIABILITY,Compiler: Harmless Minor Patch Update,250,0,0,250,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,26.3
SCENARIO,BENIGN-VAR-02,BENIGN_VARIABILITY,Dependency: Harmless Lockfile Formatting,250,0,0,250,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,33.1
SCENARIO,BENIGN-VAR-03,BENIGN_VARIABILITY,Execution: Cache Hit Normalization,250,0,0,250,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,21.9
SCENARIO,BENIGN-VAR-04,BENIGN_VARIABILITY,Environment: Path Relocation,250,0,0,250,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,24.7
SCENARIO,BENIGN-VAR-05,BENIGN_VARIABILITY,Source: Harmless Metadata Update,250,0,0,250,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,20.3
